img,z,conf
1692846915.437844,4.19,0.9051
1692846915.473507,4.19,0.8533
1692846915.505599,4.19,0.8002
1692846915.537611,4.19,0.8061
1692846915.573886,4.19,0.8542
1692846915.605597,4.188,0.8462
1692846915.637735,4.188,0.8458
1692846915.673509,4.188,0.8655
1692846915.705904,4.188,0.8601
1692846915.737619,4.188,0.8548
1692846915.773474,4.188,0.8529
1692846915.805942,4.184,0.848
1692846915.837715,4.184,0.8248
1692846915.873919,4.184,0.8276
1692846915.905755,4.184,0.8038
1692846915.937808,4.184,0.8309
1692846915.973727,4.184,0.8196
1692846916.005891,4.185,0.7946
1692846916.038159,4.185,0.8395
1692846916.073805,4.185,0.8316
1692846916.105706,4.185,0.8114
1692846916.138579,4.185,0.8459
1692846916.173644,4.185,0.8284
1692846916.205640,4.188,0.8363
1692846916.237661,4.188,0.8333
1692846916.273643,4.188,0.8429
1692846916.305618,4.188,0.8186
1692846916.337446,4.188,0.8391
1692846916.373986,4.188,0.8435
1692846916.405599,4.191,0.8125
1692846916.437583,4.191,0.8319
1692846916.474006,4.191,0.8393
1692846916.505938,4.191,0.8385
1692846916.537551,4.191,0.8834
1692846916.573748,4.191,0.8022
1692846916.605847,4.189,0.8266
1692846916.637681,4.189,0.8182
1692846916.673792,4.189,0.8359
1692846916.705539,4.189,0.826
1692846916.737513,4.189,0.784
1692846916.773453,4.189,0.8221
1692846916.805493,4.189,0.8432
1692846916.837501,4.185,0.8361
1692846916.873468,4.185,0.8202
1692846916.905629,4.185,0.7807
1692846916.937568,4.185,0.811
1692846916.973527,4.185,0.8262
1692846917.005595,4.185,0.8258
1692846917.037642,4.186,0.8281
1692846917.073893,4.186,0.8321
1692846917.105635,4.186,0.761
1692846917.137581,4.186,0.8202
1692846917.173692,4.186,0.8232
1692846917.205747,4.186,0.8004
1692846917.237737,4.183,0.8096
1692846917.273517,4.183,0.7977
1692846917.305762,4.183,0.7981
1692846917.337727,4.183,0.8131
1692846917.373568,4.183,0.7832
1692846917.405604,4.183,0.7813
1692846917.437836,4.184,0.8062
1692846917.473557,4.184,0.7957
1692846917.505604,4.184,0.8233
1692846917.537506,4.184,0.803
1692846917.573502,4.184,0.799
1692846917.605537,4.184,0.8074
1692846917.637604,4.184,0.7707
1692846917.673568,4.184,0.8111
1692846917.705602,4.184,0.816
1692846917.737543,4.184,0.8266
1692846917.773545,4.184,0.8435
1692846917.805492,4.184,0.7919
1692846917.837462,4.186,0.7372
1692846917.873709,4.186,0.8322
1692846917.905601,4.186,0.8027
1692846917.937502,4.186,0.8172
1692846917.973602,4.186,0.8194
1692846918.005571,4.186,0.7902
1692846918.037610,4.184,0.8006
1692846918.073665,4.184,0.7994
1692846918.105910,4.184,0.7995
1692846918.137840,4.184,0.8086
1692846918.173482,4.184,0.7792
1692846918.205919,4.184,0.8297
1692846918.237699,4.184,0.7705
1692846918.273569,4.184,0.8318
1692846918.305518,4.184,0.8129
1692846918.337680,4.184,0.7912
1692846918.373544,4.184,0.7832
1692846918.405625,4.184,0.8342
1692846918.437683,4.185,0.7852
1692846918.473549,4.185,0.8009
1692846918.505492,4.185,0.8195
1692846918.537532,4.185,0.7785
1692846918.573416,4.185,0.8729
1692846918.605569,4.185,0.7357
1692846918.637582,4.185,0.8218
1692846918.673449,4.185,0.8123
1692846918.705749,4.185,0.8476
1692846918.737564,4.185,0.8142
1692846918.773632,4.185,0.813
1692846918.805931,4.185,0.8263
1692846918.837865,4.185,0.811
1692846918.873783,4.185,0.8335
1692846918.905762,4.185,0.8276
1692846918.937750,4.185,0.7976
1692846918.973746,4.185,0.8224
1692846919.005647,4.185,0.8276
1692846919.037658,4.185,0.8272
1692846919.073483,4.185,0.8194
1692846919.105526,4.185,0.8208
1692846919.137535,4.185,0.8245
1692846919.173480,4.185,0.8305
1692846919.205511,4.185,0.7973
1692846919.237538,4.185,0.8216
1692846919.273563,4.185,0.8089
1692846919.305598,4.185,0.8059
1692846919.337491,4.185,0.8372
1692846919.373595,4.185,0.6888
1692846919.404991,4.185,0.8114
1692846919.437064,4.185,0.8104
1692846919.473253,4.185,0.7954
1692846919.504949,4.186,0.8104
1692846919.536978,4.186,0.7954
1692846919.573329,4.186,0.8208
1692846919.605391,4.186,0.8271
1692846919.637278,4.186,0.801
1692846919.673475,4.186,0.7792
1692846919.705218,4.187,0.7685
1692846919.737226,4.187,0.8205
1692846919.773211,4.187,0.7428
1692846919.805300,4.187,0.7538
1692846919.837214,4.187,0.7752
1692846919.873456,4.187,0.7902
1692846919.905470,4.188,0.6974
1692846919.937449,4.188,0.7746
1692846919.973836,4.188,0.7696
1692846920.005317,4.188,0.6798
1692846920.037204,4.188,0.7226
1692846920.073076,4.188,0.7402
1692846920.105228,4.189,0.6024
1692846920.137219,4.189,0.7477
1692846920.173028,4.189,0.7942
1692846920.205121,4.189,0.6519
1692846920.237131,4.189,0.7655
1692846920.273241,4.189,0.7898
1692846920.305148,4.189,0.8202
1692846920.337081,4.189,0.7448
1692846920.373110,4.189,0.7629
1692846920.405250,4.189,0.7713
1692846920.437238,4.189,0.7844
1692846920.473153,4.189,0.8196
1692846920.505526,4.189,0.6226
1692846920.537445,4.189,0.8273
1692846920.573074,4.189,0.7782
1692846920.605246,4.189,0.7772
1692846920.637528,4.189,0.8061
1692846920.673076,4.189,0.7778
1692846920.705307,4.19,0.8159
1692846920.737244,4.19,0.7709
1692846920.773122,4.19,0.7929
1692846920.805236,4.19,0.803
1692846920.837187,4.19,0.7688
1692846920.873239,4.19,0.7828
1692846920.905073,4.189,0.772
1692846920.937136,4.189,0.8143
1692846920.973006,4.189,0.8351
1692846921.005166,4.189,0.7613
1692846921.037167,4.189,0.8434
1692846921.073643,4.189,0.8177
1692846921.105351,4.19,0.7934
1692846921.137071,4.19,0.787
1692846921.173114,4.19,0.798
1692846921.205402,4.19,0.805
1692846921.237459,4.19,0.7973
1692846921.273428,4.19,0.7898
1692846921.305292,4.191,0.7719
1692846921.337275,4.191,0.7804
1692846921.373109,4.191,0.7616
1692846921.405213,4.191,0.845
1692846921.437139,4.191,0.8378
1692846921.473056,4.191,0.8072
1692846921.505214,4.191,0.8185
1692846921.537122,4.191,0.7846
1692846921.573171,4.191,0.7696
1692846921.605064,4.191,0.7531
1692846921.637097,4.191,0.7785
1692846921.673227,4.191,0.787
1692846921.705978,4.19,0.7698
1692846921.737273,4.19,0.7919
1692846921.773247,4.19,0.7473
1692846921.805136,4.19,0.7965
1692846921.837253,4.19,0.8363
1692846921.873162,4.19,0.7903
1692846921.905188,4.19,0.8018
1692846921.937306,4.19,0.7771
1692846921.973450,4.19,0.811
1692846922.005257,4.19,0.7648
1692846922.037781,4.19,0.8099
1692846922.073246,4.19,0.7536
1692846922.105277,4.19,0.7684
1692846922.137227,4.19,0.7649
1692846922.173478,4.19,0.7353
1692846922.205586,4.19,0.7995
1692846922.237631,4.19,0.7283
1692846922.273386,4.19,0.7337
1692846922.305527,4.187,0.7661
1692846922.338495,4.187,0.779
1692846922.373733,4.187,0.7532
1692846922.405319,4.187,0.7543
1692846922.437250,4.187,0.776
1692846922.473096,4.187,0.7693
1692846922.505240,4.184,0.7353
1692846922.537112,4.184,0.7811
1692846922.573139,4.184,0.7224
1692846922.605237,4.184,0.7273
1692846922.637207,4.184,0.7347
1692846922.673165,4.184,0.7307
1692846922.705469,4.182,0.7777
1692846922.737202,4.182,0.6739
1692846922.773270,4.182,0.771
1692846922.805329,4.182,0.7566
1692846922.837803,4.182,0.7013
1692846922.873441,4.182,0.7371
1692846922.905334,4.181,0.7382
1692846922.937285,4.181,0.7711
1692846922.973383,4.181,0.7334
1692846923.005241,4.181,0.6851
1692846923.037203,4.181,0.7662
1692846923.073282,4.181,0.7421
1692846923.105419,4.18,0.7323
1692846923.137500,4.18,0.7149
1692846923.173275,4.18,0.7101
1692846923.205321,4.18,0.7532
1692846923.237604,4.18,0.6608
1692846923.273396,4.18,0.7189
1692846923.305460,4.178,0.6838
1692846923.337439,4.178,0.7368
1692846923.373435,4.178,0.7847
1692846923.405413,4.178,0.7129
1692846923.437377,4.178,0.7008
1692846923.473329,4.178,0.7529
1692846923.505603,4.176,0.5544
1692846923.536950,4.176,0.7226
1692846923.573485,4.176,0.7401
1692846923.605595,4.176,0.7259
1692846923.637735,4.176,0.762
1692846923.673550,4.176,0.777
1692846923.705753,4.176,0.681
1692846923.737570,4.176,0.6865
1692846923.773470,4.176,0.6667
1692846923.805606,4.176,0.7492
1692846923.837565,4.176,0.738
1692846923.873494,4.176,0.6777
1692846923.905575,4.176,0.6971
1692846923.937859,4.176,0.7409
1692846923.973479,4.176,0.6174
1692846924.005633,4.176,0.6264
1692846924.037555,4.176,0.7299
1692846924.073763,4.176,0.6646
1692846924.105647,4.176,0.6602
1692846924.137520,4.179,0.717
1692846924.173467,4.179,0.6527
1692846924.205520,4.179,0.6892
1692846924.237532,4.179,0.7756
1692846924.274077,4.179,0.6949
1692846924.305691,4.179,0.6376
1692846924.337674,4.181,0.7197
1692846924.374096,4.181,0.572
1692846924.405790,4.181,0.6391
1692846924.438014,4.181,0.7534
1692846924.473553,4.181,0.7059
1692846924.505861,4.181,0.7299
1692846924.537673,4.181,0.7165
1692846924.573613,4.181,0.5659
1692846924.605629,4.181,0.668
1692846924.637678,4.181,0.7247
1692846924.673866,4.181,0.6513
1692846924.705560,4.181,0.6994
1692846924.737662,4.181,0.7427
1692846924.773549,4.181,0.6738
1692846924.805808,4.18,0.6605
1692846924.837537,4.18,0.7579
1692846924.873417,4.18,0.7205
1692846924.905568,4.18,0.6775
1692846924.937598,4.18,0.7418
1692846924.973392,4.18,0.6944
1692846925.005560,4.182,0.6855
1692846925.037625,4.182,0.7091
1692846925.073403,4.182,0.6586
1692846925.105643,4.182,0.6772
1692846925.137498,4.182,0.7201
1692846925.173584,4.182,0.6738
1692846925.205511,4.184,0.677
1692846925.237653,4.184,0.6895
1692846925.273578,4.184,0.642
1692846925.305784,4.184,0.6953
1692846925.337548,4.184,0.6566
1692846925.373803,4.184,0.6323
1692846925.405670,4.185,0.6504
1692846925.437508,4.185,0.5572
1692846925.473685,4.185,0.5711
1692846925.505594,4.185,0.6043
1692846925.537503,4.185,0.5268
1692846925.573524,4.185,0.6306
1692846925.605462,4.185,0.6737
1692846925.637649,4.185,0.587
1692846925.673437,4.185,0.5842
1692846925.705491,4.185,0.6703
1692846925.737580,4.185,0.608
1692846925.773422,4.185,0.5081
1692846925.805484,4.187,0.5694
1692846925.837764,4.187,0.595
1692846925.873451,4.187,0.6139
1692846925.905720,4.187,0.4804
1692846925.937460,4.187,0.4436
1692846925.973526,4.187,0.607
1692846926.005645,4.186,0.6125
1692846926.037657,4.186,0.6019
1692846926.073606,4.186,0.6122
1692846926.105656,4.186,0.4884
1692846926.137772,4.186,0.4751
1692846926.173469,4.186,0.5736
1692846926.205693,4.184,0.6047
1692846926.237622,4.184,0.597
1692846926.273623,4.184,0.5595
1692846926.305678,4.184,0.4243
1692846926.337652,4.184,0.4409
1692846926.373588,4.184,0.5228
1692846926.405701,4.184,0.5927
1692846926.437676,4.184,0.5927
1692846926.473546,4.184,0.5195
1692846926.505657,4.184,0.5982
1692846926.537662,4.184,0.477
1692846926.573804,4.184,0.4731
1692846926.605479,4.187,0.578
1692846926.637504,4.187,0.605
1692846926.673521,4.187,0.5392
1692846926.705669,4.187,0.5016
1692846926.737519,4.187,0.4657
1692846926.773624,4.187,0.3545
1692846926.806080,4.19,0.4583
1692846926.837626,4.19,0.4959
1692846926.873539,4.19,0.5072
1692846926.905681,4.19,0.5116
1692846926.937602,4.19,0.5178
1692846926.973474,4.19,0.5479
1692846927.005796,4.193,0.5635
1692846927.037529,4.193,0.5416
1692846927.073461,4.193,0.4918
1692846927.105722,4.193,0.43
1692846927.137519,4.193,0.5383
1692846927.173515,4.193,0.5335
1692846927.205631,4.191,0.5841
1692846927.237907,4.191,0.5541
1692846927.274413,4.191,0.4935
1692846927.305651,4.191,0.3923
1692846927.337634,4.191,0.4326
1692846927.373533,4.191,0.4668
1692846927.405766,4.189,0.4334
1692846927.437647,4.189,0.4721
1692846927.473508,4.189,0.5121
1692846927.505559,4.189,0.3839
1692846927.537557,4.189,0.4005
1692846927.573579,4.189,0.3863
1692846927.605688,4.186,0.4381
1692846927.637734,4.186,0.346
1692846927.673780,4.186,0.4071
1692846927.705755,4.186,0.3416
1692846927.737664,4.186,0.6338
1692846927.773464,4.186,0.3528
1692846927.805523,4.185,0.3937
1692846927.837606,4.185,0.4322
1692846927.873517,4.185,0.3475
1692846927.905513,4.185,0.3973
1692846927.937540,4.185,0.3949
1692846927.973491,4.185,0.3813
1692846928.005536,4.186,0.4766
1692846928.037497,4.186,0.4709
1692846928.073576,4.186,0.4213
1692846928.105531,4.186,0.3803
1692846928.137572,4.186,0.5358
1692846928.173452,4.186,0.4819
1692846928.205547,4.184,0.4225
1692846928.237543,4.184,0.3882
1692846928.273672,4.184,0.4348
1692846928.305834,4.184,0.4535
1692846928.337512,4.184,0.4364
1692846928.373518,4.184,0.4581
1692846928.406279,4.184,0.4224
1692846928.437651,4.184,0.4322
1692846928.473492,4.184,0.4158
1692846928.505696,4.184,0.4147
1692846928.537638,4.184,0.4177
1692846928.573490,4.184,0.4905
1692846928.605705,4.186,0.3932
1692846928.637545,4.186,0.2955
1692846928.673452,4.186,0.4544
1692846928.705603,4.186,0.3944
1692846928.737581,4.186,0.4083
1692846928.773589,4.186,0.3913
1692846928.805575,4.184,0.4518
1692846928.837591,4.184,0.4857
1692846928.873601,4.184,0.4115
1692846928.905628,4.184,0.4981
1692846928.937572,4.184,0.4165
1692846928.973619,4.184,0.4684
1692846929.005670,4.183,0.4105
1692846929.037664,4.183,0.3981
1692846929.073514,4.183,0.4032
1692846929.105566,4.183,0.3934
1692846929.137522,4.183,0.4433
1692846929.173886,4.183,0.4279
1692846929.205792,4.182,0.4652
1692846929.238037,4.182,0.525
1692846929.273835,4.182,0.4753
1692846929.305537,4.182,0.4453
1692846929.337630,4.182,0.4541
1692846929.373803,4.182,0.4147
1692846929.405696,4.182,0.4038
1692846929.437867,4.182,0.331
1692846929.473667,4.182,0.4573
1692846929.505540,4.182,0.4611
1692846929.537469,4.182,0.4242
1692846929.574253,4.182,0.3916
1692846929.605644,4.182,0.4849
1692846929.637984,4.182,0.4211
1692846929.673536,4.182,0.4728
1692846929.705620,4.182,0.3811
1692846929.737540,4.182,0.4146
1692846929.773527,4.182,0.5051
1692846929.805638,4.177,0.4205
1692846929.837570,4.177,0.3698
1692846929.873493,4.177,0.4165
1692846929.905622,4.177,0.3847
1692846929.937533,4.177,0.4301
1692846929.973612,4.177,0.4051
1692846930.005648,4.176,0.4327
1692846930.037752,4.176,0.4554
1692846930.073592,4.176,0.3588
1692846930.105878,4.176,0.445
1692846930.137652,4.176,0.4248
1692846930.173583,4.176,0.5451
1692846930.205608,4.178,0.4064
1692846930.237547,4.178,0.3613
1692846930.273476,4.178,0.4618
1692846930.305617,4.178,0.4732
1692846930.337565,4.178,0.4514
1692846930.373483,4.178,0.4151
1692846930.405466,4.177,0.4646
1692846930.437614,4.177,0.4613
1692846930.473431,4.177,0.4435
1692846930.505481,4.177,0.4512
1692846930.537536,4.177,0.4531
1692846930.573429,4.177,0.5259
1692846930.605674,4.177,0.4894
1692846930.638178,4.172,0.4192
1692846930.673474,4.172,0.4365
1692846930.705902,4.172,0.5787
1692846930.737576,4.172,0.4647
1692846930.773682,4.172,0.3632
1692846930.807536,4.172,0.4445
1692846930.837672,4.172,0.3703
1692846930.873640,4.172,0.4519
1692846930.905548,4.172,0.3778
1692846930.937602,4.172,0.45
1692846930.973574,4.172,0.4339
1692846931.005586,4.172,0.3929
1692846931.037549,4.172,0.4041
1692846931.073565,4.172,0.4307
1692846931.105541,4.172,0.4393
1692846931.137532,4.172,0.4257
1692846931.173450,4.172,0.4261
1692846931.205690,4.172,0.409
1692846931.237525,4.172,0.4349
1692846931.273626,4.172,0.4378
1692846931.305576,4.172,0.461
1692846931.337524,4.172,0.4527
1692846931.373770,4.172,0.479
1692846931.405523,4.172,0.3852
1692846931.437614,4.172,0.4169
1692846931.473696,4.172,0.4717
1692846931.505521,4.172,0.4056
1692846931.537576,4.178,0.4239
1692846931.573590,4.178,0.452
1692846931.605577,4.178,0.386
1692846931.637658,4.178,0.4966
1692846931.673573,4.178,0.3899
1692846931.705817,4.178,0.4244
1692846931.738010,4.178,0.3472
1692846931.773651,4.189,0.4654
1692846931.805763,4.189,0.3965
1692846931.837697,4.189,0.4197
1692846931.873634,4.189,0.3938
1692846931.905752,4.189,0.3645
1692846931.937539,4.189,0.5021
1692846931.974182,4.189,0.264
1692846932.005724,4.206,0.3701
1692846932.037725,4.206,0.4532
1692846932.074140,4.206,0.4384
1692846932.105638,4.206,0.438
1692846932.137636,4.206,0.4205
1692846932.173521,4.206,0.5363
1692846932.205586,4.228,0.4011
1692846932.237633,4.228,0.3897
1692846932.273473,4.228,0.5046
1692846932.305498,4.228,0.3814
1692846932.337499,4.228,0.3876
1692846932.374259,4.228,0.2903
1692846932.405661,4.273,0.4709
1692846932.437642,4.273,0.3898
1692846932.473666,4.273,0.4681
1692846932.505893,4.273,0.1475
1692846932.537592,4.273,0.4185
1692846932.573495,4.273,0.4629
1692846932.605547,4.34,0.4366
1692846932.637641,4.34,0.4382
1692846932.673488,4.34,0.4676
1692846932.705565,4.34,0.4233
1692846932.737513,4.34,0.4428
1692846932.773490,4.34,0.3633
1692846932.805493,4.411,0.4663
1692846932.837601,4.411,0.4351
1692846932.873509,4.411,0.4368
1692846932.905658,4.411,0.3629
1692846932.937557,4.411,0.4591
1692846932.973554,4.411,0.3959
1692846933.005563,4.47,0.5054
1692846933.037550,4.47,0.4055
1692846933.073457,4.47,0.5107
1692846933.105551,4.47,0.317
1692846933.137484,4.47,0.4785
1692846933.173531,4.47,0.4383
1692846933.205208,4.553,0.3721
1692846933.237238,4.553,0.4019
1692846933.273458,4.553,0.4416
1692846933.305702,4.553,0.4592
1692846933.337823,4.553,0.4435
1692846933.373834,4.553,0.4801
1692846933.405441,4.649,0.3628
1692846933.437424,4.649,0.3228
1692846933.473670,4.649,0.4231
1692846933.505735,4.649,0.4164
1692846933.537409,4.649,0.3761
1692846933.573487,4.649,0.4544
1692846933.605381,4.748,0.4123
1692846933.637375,4.748,0.4382
1692846933.673551,4.748,0.3714
1692846933.705441,4.748,0.4025
1692846933.737373,4.748,0.4132
1692846933.773384,4.748,0.4288
1692846933.805393,4.834,0.4266
1692846933.837379,4.834,0.4346
1692846933.873374,4.834,0.4389
1692846933.905623,4.834,0.4318
1692846933.937396,4.834,0.459
1692846933.973509,4.834,0.4648
1692846934.005481,4.947,0.3372
1692846934.037523,4.947,0.4568
1692846934.074493,4.947,0.4506
1692846934.105414,4.947,0.4586
1692846934.137726,4.947,0.5098
1692846934.173494,4.947,0.3749
1692846934.205572,5.028,0.5053
1692846934.237447,5.028,0.4048
1692846934.273702,5.028,0.3942
1692846934.305510,5.028,0.4616
1692846934.337437,5.028,0.3783
1692846934.374685,5.131,0.4173
1692846934.405722,5.131,0.4378
1692846934.438126,5.131,0.4577
1692846934.473813,5.131,0.3454
1692846934.505748,5.131,0.4525
1692846934.537539,5.131,0.4524
1692846934.573540,5.131,0.3539
1692846934.605624,5.212,0.4064
1692846934.637371,5.212,0.279
1692846934.673357,5.212,0.4946
1692846934.705547,5.212,0.48
1692846934.737395,5.212,0.3896
1692846934.773877,5.212,0.3112
1692846934.805652,5.334,0.4744
1692846934.837664,5.334,0.5727
1692846934.873460,5.334,0.4299
1692846934.905700,5.334,0.3327
1692846934.937450,5.334,0.4028
1692846934.973546,5.334,0.3984
1692846935.005569,5.334,0.375
1692846935.037724,5.434,0.3901
1692846935.073562,5.434,0.3684
1692846935.105751,5.434,0.4621
1692846935.137670,5.434,0.4269
1692846935.173472,5.434,0.4387
1692846935.205369,5.434,0.4207
1692846935.237585,5.536,0.4271
1692846935.273438,5.536,0.3664
1692846935.305478,5.536,0.4513
1692846935.337399,5.536,0.4818
1692846935.373329,5.536,0.4272
1692846935.405510,5.536,0.5964
1692846935.437507,5.615,0.4632
1692846935.473076,5.615,0.3845
1692846935.505637,5.615,0.4017
1692846935.537459,5.615,0.4262
1692846935.573694,5.615,0.3429
1692846935.605679,5.615,0.398
1692846935.637833,5.715,0.4346
1692846935.673886,5.715,0.4174
1692846935.705579,5.715,0.4883
1692846935.738745,5.715,0.4263
1692846935.773689,5.715,0.437
1692846935.805509,5.715,0.3803
1692846935.837276,5.82,0.4095
1692846935.873528,5.82,0.4396
1692846935.905533,5.82,0.4574
1692846935.937502,5.82,0.4196
1692846935.973443,5.82,0.4464
1692846936.005913,5.82,0.4374
1692846936.037452,5.923,0.4195
1692846936.073509,5.923,0.4498
1692846936.105639,5.923,0.4138
1692846936.137510,5.923,0.4166
1692846936.173962,5.923,0.2939
1692846936.205711,5.923,0.4416
1692846936.237688,6.004,0.4339
1692846936.273523,6.004,0.544
1692846936.305537,6.004,0.3866
1692846936.337472,6.004,0.3844
1692846936.374181,6.004,0.3877
1692846936.405698,6.004,0.3933
1692846936.437746,6.13,0.3559
1692846936.473829,6.13,0.5162
1692846936.505592,6.13,0.4015
1692846936.537707,6.13,0.4041
1692846936.573629,6.13,0.2915
1692846936.605682,6.13,0.436
1692846936.637511,6.13,0.4239
1692846936.673470,6.13,0.5018
1692846936.705804,6.241,0.4108
1692846936.737736,6.241,0.2843
1692846936.773706,6.241,0.4809
1692846936.806377,6.241,0.4107
1692846936.837979,6.241,0.4624
1692846936.873467,6.241,0.4779
1692846936.906136,6.33,0.472
1692846936.938076,6.33,0.4141
1692846936.973438,6.33,0.456
1692846937.005603,6.33,0.4037
1692846937.037481,6.33,0.3892
1692846937.073537,6.33,0.3782
1692846937.105519,6.447,0.4814
1692846937.137583,6.447,0.4229
1692846937.173496,6.447,0.4465
1692846937.205903,6.447,0.4219
1692846937.237788,6.447,0.4611
1692846937.273565,6.447,0.3703
1692846937.305753,6.529,0.3461
1692846937.337637,6.529,0.4248
1692846937.373569,6.529,0.4749
1692846937.405571,6.529,0.3663
1692846937.437512,6.529,0.4357
1692846937.473479,6.529,0.411
1692846937.505564,6.638,0.43
1692846937.537557,6.638,0.4091
1692846937.573481,6.638,0.4124
1692846937.605462,6.638,0.3837
1692846937.637508,6.638,0.3475
1692846937.673539,6.638,0.469
1692846937.705507,6.747,0.3391
1692846937.737597,6.747,0.3386
1692846937.773565,6.747,0.3871
1692846937.805541,6.747,0.4256
1692846937.837517,6.747,0.3191
1692846937.873503,6.747,0.3896
1692846937.905550,6.859,0.514
1692846937.937521,6.859,0.3583
1692846937.973588,6.859,0.3704
1692846938.005641,6.859,0.4537
1692846938.037608,6.859,0.3813
1692846938.073524,6.859,0.5591
1692846938.105703,6.945,0.4487
1692846938.137616,6.945,0.4754
1692846938.173527,6.945,0.3653
1692846938.205513,6.945,0.3667
1692846938.237563,6.945,0.4128
1692846938.273452,6.945,0.4158
1692846938.305570,7.058,0.2807
1692846938.337425,7.058,0.3817
1692846938.373613,7.058,0.4075
1692846938.405700,7.058,0.447
1692846938.437642,7.058,0.4519
1692846938.474011,7.058,0.3626
1692846938.505553,7.179,0.3669
1692846938.537636,7.179,0.4439
1692846938.573640,7.179,0.4122
1692846938.605653,7.179,0.4653
1692846938.637560,7.179,0.4036
1692846938.673696,7.179,0.4435
1692846938.705515,7.272,0.5666
1692846938.737483,7.272,0.4076
1692846938.773434,7.272,0.4026
1692846938.805672,7.272,0.4439
1692846938.837652,7.272,0.3412
1692846938.873661,7.272,0.4276
1692846938.905832,7.388,0.4099
1692846938.937593,7.388,0.4654
1692846938.973818,7.388,0.3775
1692846939.005687,7.388,0.3864
1692846939.038011,7.388,0.4317
1692846939.073556,7.388,0.3284
1692846939.105689,7.51,0.3995
1692846939.137612,7.51,0.4478
1692846939.173643,7.51,0.3302
1692846939.206493,7.51,0.4109
1692846939.238107,7.51,0.3642
1692846939.273706,7.51,0.3988
1692846939.305874,7.602,0.3061
1692846939.338170,7.602,0.386
1692846939.373564,7.602,0.3766
1692846939.405570,7.602,0.3828
1692846939.437579,7.602,0.4214
1692846939.473509,7.602,0.4339
1692846939.505569,7.708,0.3642
1692846939.537529,7.708,0.3271
1692846939.573592,7.708,0.3827
1692846939.605727,7.708,0.4092
1692846939.637715,7.708,0.3984
1692846939.673770,7.708,0.392
1692846939.705801,7.813,0.3617
1692846939.737570,7.813,0.4427
1692846939.773584,7.813,0.3854
1692846939.805552,7.813,0.51
1692846939.837519,7.813,0.377
1692846939.873484,7.813,0.4566
1692846939.905560,7.919,0.4225
1692846939.937484,7.919,0.4197
1692846939.973430,7.919,0.3933
1692846940.005551,7.919,0.4268
1692846940.037505,7.919,0.3874
1692846940.073664,7.919,0.5317
1692846940.105706,8.004,0.3664
1692846940.137506,8.004,0.3797
1692846940.173557,8.004,0.4213
1692846940.205720,8.004,0.4503
1692846940.237514,8.004,0.4356
1692846940.273513,8.004,0.3879
1692846940.305612,8.106,0.4174
1692846940.337491,8.106,0.3569
1692846940.373636,8.106,0.373
1692846940.405758,8.106,0.6166
1692846940.437672,8.106,0.3439
1692846940.473585,8.106,0.4252
1692846940.505802,8.203,0.4336
1692846940.537544,8.203,0.332
1692846940.573616,8.203,0.3543
1692846940.605538,8.203,0.3728
1692846940.637552,8.203,0.2785
1692846940.673567,8.203,0.3553
1692846940.705544,8.286,0.338
1692846940.737485,8.286,0.3168
1692846940.773480,8.286,0.429
1692846940.805617,8.286,0.4224
1692846940.837535,8.286,0.3994
1692846940.873528,8.286,0.4039
1692846940.905754,8.389,0.3458
1692846940.937509,8.389,0.3992
1692846940.973547,8.389,0.4226
1692846941.005771,8.389,0.4475
1692846941.037551,8.389,0.3926
1692846941.073471,8.389,0.3811
1692846941.105624,8.472,0.6044
1692846941.137580,8.472,0.4088
1692846941.173945,8.472,0.3456
1692846941.205735,8.472,0.3628
1692846941.237724,8.472,0.4285
1692846941.273659,8.472,0.3295
1692846941.305749,8.57,0.4444
1692846941.337789,8.57,0.3595
1692846941.373602,8.57,0.3814
1692846941.405774,8.57,0.3914
1692846941.437661,8.57,0.3343
1692846941.473596,8.57,0.3767
1692846941.505704,8.665,0.3761
1692846941.537643,8.665,0.4051
1692846941.573473,8.665,0.3931
1692846941.605696,8.665,0.437
1692846941.637819,8.665,0.4396
1692846941.673501,8.665,0.4459
1692846941.705617,8.762,0.3106
1692846941.738105,8.762,0.3531
1692846941.773567,8.762,0.3806
1692846941.805601,8.762,0.4597
1692846941.837937,8.762,0.3368
1692846941.873430,8.762,0.4366
1692846941.905782,8.838,0.3954
1692846941.937611,8.838,0.5702
1692846941.973949,8.838,0.343
1692846942.005722,8.838,0.3261
1692846942.037809,8.838,0.3833
1692846942.073622,8.838,0.4132
1692846942.105965,8.894,0.2724
1692846942.137567,8.894,0.3344
1692846942.173513,8.894,0.264
1692846942.205642,8.894,0.4156
1692846942.237551,8.894,0.3934
1692846942.273524,8.894,0.3953
1692846942.305620,8.903,0.4023
1692846942.337587,8.903,0.3724
1692846942.373528,8.903,0.4492
1692846942.405530,8.903,0.3709
1692846942.437511,8.903,0.4862
1692846942.473583,8.903,0.4247
1692846942.505576,8.897,0.4023
1692846942.537527,8.897,0.4623
1692846942.573508,8.897,0.3273
1692846942.605664,8.897,0.5606
1692846942.637606,8.897,0.2992
1692846942.673579,8.897,0.368
1692846942.705502,8.897,0.4293
1692846942.737575,8.895,0.3374
1692846942.773446,8.895,0.3447
1692846942.805799,8.895,0.5134
1692846942.837595,8.895,0.4575
1692846942.873558,8.895,0.3535
1692846942.905547,8.895,0.3724
1692846942.937656,8.898,0.4158
1692846942.973455,8.898,0.4245
